id,image_url,local_path,price,type,property_category
1,https://www.mubawab-media.com/ad/8/192/050F/h/photo_17_80782615.avif,data/images/1.avif,4700.0,For Rent,Apartment
2,https://www.mubawab-media.com/ad/8/190/569F/h/%C2%A9Marwane%20SOBAI_MG_2510_80768150.avif,data/images/2.avif,18000.0,For Rent,Apartment
3,https://www.mubawab-media.com/ad/8/190/169F/h/WhatsApp%20Image%202025-07-08%20at%2013.44.53_80764389.avif,data/images/3.avif,10000.0,For Rent,Apartment
4,https://www.mubawab-media.com/ad/8/189/512F/h/image00003_80757901.avif,data/images/4.avif,19000.0,For Rent,Apartment
5,https://www.mubawab-media.com/ad/8/189/080F/h/photo_78_80753792.avif,data/images/5.avif,6800.0,For Rent,Apartment
6,https://www.mubawab-media.com/ad/8/188/799F/h/Salle%20de%20bain-%202_80751198.avif,data/images/6.avif,8700.0,For Rent,Autre
7,https://www.mubawab-media.com/ad/8/188/751F/h/IMG_2559_80750577.avif,data/images/7.avif,35000.0,For Rent,Autre
8,https://www.mubawab-media.com/ad/8/188/005F/h/AYA%20FAVORITE_80744627.avif,data/images/8.avif,600.0,For Rent,Apartment
9,https://www.mubawab-media.com/ad/7/943/253F/h/20200805_150416_80482633.avif,data/images/9.avif,11700.0,For Rent,Apartment
10,https://www.mubawab-media.com/ad/8/119/960F/h/7c8fcfbf-2caa-4ea1-8f6d-1030484fe457_80046222.avif,data/images/10.avif,12000.0,For Rent,Apartment
11,https://www.mubawab-media.com/ad/8/184/814F/h/e140f200-699c-44af-9f1f-63d59126eae1_80710551.avif,data/images/11.avif,28500.0,For Rent,Apartment
12,https://www.mubawab-media.com/ad/8/184/765F/h/aa28bb74-e9e1-4347-b719-ed9396f0ee19_80710186.avif,data/images/12.avif,37000.0,For Rent,House
13,https://www.mubawab-media.com/ad/6/762/292F/h/20220228_180340_resized_79222642.avif,data/images/13.avif,12000.0,For Rent,Apartment
14,https://www.mubawab-media.com/ad/8/187/288F/h/597647a1-386f-4ef6-9465-29a6c4af0419_80736697.avif,data/images/14.avif,23000.0,For Rent,Apartment
15,https://www.mubawab-media.com/ad/8/183/007F/h/WhatsApp%20Image%202025-07-17%20%C3%A0%2016.51.45_b275bce4_80692719.avif,data/images/15.avif,10000.0,For Rent,Apartment
